projname,landmark,projcode,statecode,distcode,blkcode,projtype,isgeotagged,loc_geom,last_updated_by_x,last_updated_on_x,id_x,projstatus_x,oldprojcode,proj_seq,cb_type,ru_type,ot_type,recent_sts_id,Unnamed: 19,Unnamed: 20,id_y,photo1,loc_geom1,photo1_time,photo2,loc_geom2,photo2_time,projstatus_y,surveyor_cmnt,obs_date,obs_by,approved,approver_cmnt,approved_by,approved_on,last_updated_by_y,last_updated_on_y,longitude1,latitude1,longitude2,latitude2,accuracy1,accuracy2,surveyor_name,approver_name,ai_review,ai_reasoning,ai_status,time_check
"Construction of category D-1 type residential quarter for Judicial Officers at Dhansura,  District A","""Near Sahakari Jin, Harsol Road, Dhansura.""",GJ6720003,GJ,672,,CMP,True,0101000020E6100000EE5811DA174D5240C8C15BD6B3583740,sgjaraval,2020-07-28 12:06:51.590439,1362,100,,3,True,False,False,2728,,,2728,../photos/GJ6720003_1595918211_p1.jpeg,0101000020E6100000EE5811DA174D5240C8C15BD6B3583740,2020-07-28 12:05:54,../photos/GJ6720003_1595918211_p2.jpeg,0101000020E6100000EE5811DA174D5240C8C15BD6B3583740,2020-07-28 12:06:18,100,D1 Quarter for Judicial officer Dhansura,2020-07-28 12:06:46,sgjaraval,True,Done,gjaraval,2020-09-16 00:00:00,gjaraval,2020-09-16 12:46:43.367119,73.2045808,23.3464941,73.2045808,23.3464941,6.65,6.65,,,1.0,"The image shows a completed building. The structure is complete with a roof, windows, and a front porch. This aligns with the 100% completion status reported by the user. Therefore, the validation system correctly returned a 1, indicating verification.",90.0,OUTDATED
4 NOS FAMILY COURT,NEAR COURT ROOM,UP1820005,UP,182,NAUGARH,UC,True,0101000020E61000004C1AA37554C45440963E74417D473B40,supsiddha,2024-02-27 17:02:31.778296,3371,-1,,5,True,False,True,7541,,,7541,../photos/UP1820005_1709033551_p1.jpeg,0101000020E61000008368AD6873C4544020C54A1641473B40,2024-02-27 16:52:56,../photos/UP1820005_1709033551_p2.jpeg,0101000020E61000008368AD6873C4544020C54A1641473B40,2024-02-27 16:54:38,-1,Work in progress,2024-02-27 17:02:27,supsiddha,False,,,,supsiddha,2024-02-27 17:02:31.778296,83.069544,27.2783369,83.069544,27.2783369,26.4,26.4,,,,NaN,,NaN
"C/o Additional Lawyer Chambers near District Court, Dwarka, Sec-10, New Delhi",Dwarka Court Complex,DL840002,DL,84,,UC,True,0101000020E61000002BE33A21CF435340FBAD9D2809953C40,sdlsouthwes,2020-06-12 16:34:31.527221,1418,-1,,2,False,False,True,2238,,,2238,../photos/DL840002_1591959871_p1.jpeg,0101000020E61000002BE33A21CF435340FBAD9D2809953C40,2020-06-12 16:34:09,../photos/DL840002_1591959871_p2.jpeg,0101000020E61000002BE33A21CF435340FBAD9D2809953C40,2020-06-12 16:34:21,-1,Land available A A and E S is yet to be received,2020-06-12 16:34:29,sdlsouthwes,False,,,,sdlsouthwes,2020-06-12 16:34:31.527221,77.0595172,28.582171,77.0595172,28.582171,3.22,3.22,,,1.0,"The image shows an empty plot of land, which aligns with the 0% status in the rulebook. The validation system correctly identified the status as 0%, resulting in a return value of 1, indicating verification.",0.0,OUTDATED
CONSTRUCTION OF CHILD FRIENDLY COURT BUILDING AT SIRMOUR,BESIDE POLICE STATION SIRMOUR,MP4240012,MP,424,SIRMOUR,UC,True,0101000020E610000083177D0569575440F8E0B54B1BD63840,smprewa,2022-05-25 18:32:23.307564,2472,90,,12,True,False,False,5202,,,5202,../photos/MP4240012_1653483743_p1.jpeg,0101000020E6100000057A97416B5754401249997917D63840,2022-05-25 18:31:50,../photos/MP4240012_1653483743_p2.jpeg,0101000020E6100000463B133F6B575440D672672618D63840,2022-05-25 18:32:14,90,Finishing  work in progress,2022-05-25 18:32:21,smprewa,True,work in progress,mprewa,2022-12-15 00:00:00,mprewa,2022-12-15 13:03:33.990581,81.3659214,24.8362957,81.3659208,24.836306,4.2,25.27,,APD REWA,,NaN,,NaN
CONSTRUCTION OF CHILD FRIENDLY COURT BUILDING AT SIRMOUR,BESIDE POLICE STATION SIRMOUR,MP4240012,MP,424,SIRMOUR,UC,True,0101000020E610000083177D0569575440F8E0B54B1BD63840,smprewa,2022-05-25 18:32:23.307564,2472,90,,12,True,False,False,5202,,,5200,../photos/MP4240012_1653483625_p1.jpeg,0101000020E6100000E05229D16D57544039E4B0451CD63840,2022-05-25 18:29:43,../photos/MP4240012_1653483625_p2.jpeg,0101000020E6100000100EAC996B575440BE02870618D63840,2022-05-25 18:30:02,90,Finishing work in progress,2022-05-25 18:30:18,smprewa,True,YES,mprewa,2023-12-15 00:00:00,mprewa,2023-12-15 11:17:29.110724,81.3660777,24.8363689,81.3659424,24.8363041,56.1,8.06,,J S BAGHEL,,NaN,,NaN
CONSTRUCTION OF CHILD FRIENDLY COURT BUILDING AT SIRMOUR,BESIDE POLICE STATION SIRMOUR,MP4240012,MP,424,SIRMOUR,UC,True,0101000020E610000083177D0569575440F8E0B54B1BD63840,smprewa,2022-05-25 18:32:23.307564,2472,90,,12,True,False,False,5202,,,4569,../photos/MP4240012_1624270206_p1.jpeg,0101000020E610000048A3A76D68575440D8CF07701FD63840,2021-06-21 15:37:11,../photos/MP4240012_1624270206_p2.jpeg,0101000020E6100000BDE13E726B5754405188DBFC1AD63840,2021-06-21 15:38:27,20,Roof centering work in progress,2021-06-21 15:39:42,smprewa,True,YES,mprewa,2023-12-15 00:00:00,mprewa,2023-12-15 11:17:22.27691,81.3657488,24.8364172,81.365933,24.8363493,12.86,11.08,,J S BAGHEL,,NaN,,NaN
Construction of residential building of district and session judges.,,RUbrJAH409,BR,199,jehanabad,CMP,True,0101000020E610000021C45B08AE3F5540CC8AF216593A3940,bruser,2021-09-07 13:41:38.506874,4,100,RUbrJAH409,2,False,True,False,1834,,,1834,../photos/RUbrJAH409_1589632119_p1.jpeg,0101000020E610000034226294B13F5540E915AAF6443A3940,2020-05-16 17:55:45,../photos/RUbrJAH409_1589632119_p2.jpeg,0101000020E610000034226294B13F5540E915AAF6443A3940,2020-05-16 17:56:31,100,Building is handover to DJ jehanabad,2020-05-16 17:58:34,sbrjahana,False,,,,sbrjahana,2020-05-16 17:58:39.419984,84.9952136,25.2276148,84.9952136,25.2276148,3.79,3.79,,,,NaN,,NaN
CONSTRUCTION OF (96 unit )BTYPE QTR 8BLOCK 48 UNITS A TYPE QTR 3BLOCK 36UNIT DTYP QTR2BLOCK 12UNITS,,RUadSAR698,JH,341,CHANDIL,CMP,True,0101000020E6100000506AD4E8FA8155403757282DB7F73640,sjhsaraikkha,2022-06-08 11:23:55.228048,14,100,RUadSAR698,2,False,True,False,5266,,,5266,../photos/RUadSAR698_1654667635_p1.jpeg,0101000020E6100000DECA129DE58155400C923EADA2F73640,2022-06-08 11:23:19,../photos/RUadSAR698_1654667635_p2.jpeg,0101000020E6100000B6453E54BF81554039F7B2486EF83640,2022-06-08 11:23:42,100,A 3 HAND OVER PROCESS,2022-06-08 11:23:44,sjhsaraikkha,True,Building Completed,jhsaraikkha,2022-06-08 00:00:00,jhsaraikkha,2022-06-08 15:25:46.91583,86.0296395,22.967326,86.0273028,22.9704328,206.99,600.0,,Executive Engineer BCD SKL,,NaN,,NaN
Construction of New 5 bench Judicial court campus at karera District shivpuri,,CHmpSHI741,MP,432,,UC,True,0101000020E61000002DA027D0AD8A5340C3D4F96483773940,smpshivpu,2022-12-07 11:51:46.567322,50,90,CHmpSHI741,9,True,False,False,5786,,,5698,../photos/CHmpSHI741_1666956897_p1.jpeg,0101000020E6100000F73306E79D8A5340B3AB353921773940,2022-10-28 17:04:46,../photos/CHmpSHI741_1666956897_p2.jpeg,0101000020E6100000F73306E79D8A5340B3AB353921773940,2022-10-28 17:04:58,90,Finishing work in progress,2022-10-28 17:05:03,smpshivpu,True,Finishing work,mpshivpu,2022-12-07 00:00:00,mpshivpu,2022-12-07 07:22:31.502607,78.1658876,25.4653507,78.1658876,25.4653507,26.4,26.4,,N.S.DHAKAD,,NaN,,NaN
Construction of New 5 bench Judicial court campus at karera District shivpuri,,CHmpSHI741,MP,432,,UC,True,0101000020E61000002DA027D0AD8A5340C3D4F96483773940,smpshivpu,2022-12-07 11:51:46.567322,50,90,CHmpSHI741,9,True,False,False,5786,,,5786,../photos/CHmpSHI741_1670394106_p1.jpeg,0101000020E610000074DF20109E8A5340AC9AD65C24773940,2022-12-07 11:51:13,../photos/CHmpSHI741_1670394106_p2.jpeg,0101000020E6100000F73306E79D8A53403C331C2A21773940,2022-12-07 11:51:36,90,Finishing work in progress,2022-12-07 11:51:41,smpshivpu,True,Finishing work in progress,mpshivpu,2022-12-07 00:00:00,mpshivpu,2022-12-07 12:04:49.740092,78.1658974,25.4653986,78.1658876,25.4653498,27.2,56.1,,N.S. Dhakad,,NaN,,NaN
